Health_region	iso_week	21J (Delta)	21K (Omicron)	21L (Omicron)
ACORES-RA	2022W02	0.12727272727272726	0.8727272727272727	0.0
ACORES-RA	2022W03	0.14285714285714285	0.8571428571428571	0.0
ACORES-RA	2022W04	0.09615384615384616	0.9038461538461539	0.0
ACORES-RA	2022W05	0.08928571428571429	0.875	0.03571428571428571
ACORES-RA	2022W06	0.038461538461538464	0.9230769230769231	0.038461538461538464
ALENTEJO	2022W02	0.020202020202020204	0.9797979797979798	0.0
ALENTEJO	2022W03	0.0136986301369863	0.9863013698630136	0.0
ALENTEJO	2022W04	0.04040404040404041	0.8686868686868687	0.09090909090909091
ALENTEJO	2022W05	0.0	0.944954128440367	0.05504587155963303
ALENTEJO	2022W06	0.0	0.835820895522388	0.16417910447761194
ALGARVE	2022W02	0.0392156862745098	0.9411764705882353	0.0196078431372549
ALGARVE	2022W03	0.023255813953488372	0.9767441860465116	0.0
ALGARVE	2022W04	0.0	0.8923076923076924	0.1076923076923077
ALGARVE	2022W05	0.0	0.8636363636363636	0.13636363636363635
ALGARVE	2022W06	0.0	0.7619047619047619	0.23809523809523808
CENTRO	2022W02	0.025974025974025976	0.961038961038961	0.012987012987012988
CENTRO	2022W03	0.0	0.9726027397260274	0.0273972602739726
CENTRO	2022W04	0.011235955056179775	0.9325842696629213	0.056179775280898875
CENTRO	2022W05	0.0	0.8958333333333334	0.10416666666666667
CENTRO	2022W06	0.0	0.7857142857142857	0.21428571428571427
LX V TEJO	2022W02	0.011764705882352941	0.9882352941176471	0.0
LX V TEJO	2022W03	0.0	0.9375	0.0625
LX V TEJO	2022W04	0.013513513513513514	0.9324324324324325	0.05405405405405406
LX V TEJO	2022W05	0.0	0.810126582278481	0.189873417721519
LX V TEJO	2022W06	0.0	0.7796610169491526	0.22033898305084745
MADEIRA-RA	2022W02	0.027777777777777776	0.9722222222222222	0.0
MADEIRA-RA	2022W03	0.0	1.0	0.0
MADEIRA-RA	2022W04	0.0	1.0	0.0
MADEIRA-RA	2022W05	0.0	0.3333333333333333	0.6666666666666666
MADEIRA-RA	2022W06	0.0	0.8	0.2
NORTE	2022W02	0.05263157894736842	0.9473684210526315	0.0
NORTE	2022W03	0.016666666666666666	0.95	0.03333333333333333
NORTE	2022W04	0.0	0.96	0.04
NORTE	2022W05	0.0	0.9298245614035088	0.07017543859649122
NORTE	2022W06	0.0	0.8918918918918919	0.10810810810810811
