Health_region	iso_week	AY.103	AY.124	AY.124.1	AY.4	AY.4.2	AY.42	AY.43	AY.43.4	AY.43.5	AY.5	B.1.617.2	BA.1	BA.1.1	BA.2
ACORES-RA	2022W02	0	0	1	6	0	0	0	0	0	0	0	36	12	0
ACORES-RA	2022W03	0	0	2	8	0	0	0	0	0	0	0	49	11	0
ACORES-RA	2022W04	0	0	1	4	0	0	0	0	0	0	0	39	8	0
ACORES-RA	2022W05	0	0	0	5	0	0	0	0	0	0	0	26	23	2
ACORES-RA	2022W06	0	0	0	1	0	0	0	0	0	0	0	11	13	1
ALENTEJO	2022W02	0	0	0	0	0	0	1	0	0	0	1	80	17	0
ALENTEJO	2022W03	0	0	0	1	0	0	0	0	0	0	0	67	5	0
ALENTEJO	2022W04	0	0	0	1	0	0	1	0	0	0	2	67	19	9
ALENTEJO	2022W05	0	0	0	0	0	0	0	0	0	0	0	76	27	6
ALENTEJO	2022W06	0	0	0	0	0	0	0	0	0	0	0	43	13	11
ALGARVE	2022W02	0	0	0	0	0	0	1	0	0	0	1	44	4	1
ALGARVE	2022W03	0	0	0	0	0	0	0	0	0	1	0	37	5	0
ALGARVE	2022W04	0	0	0	0	0	0	0	0	0	0	0	42	16	7
ALGARVE	2022W05	0	0	0	0	0	0	0	0	0	0	0	26	12	6
ALGARVE	2022W06	0	0	0	0	0	0	0	0	0	0	0	22	10	10
CENTRO	2022W02	1	0	0	1	0	0	0	0	0	0	0	61	13	1
CENTRO	2022W03	0	0	0	0	0	0	0	0	0	0	0	61	10	2
CENTRO	2022W04	0	0	0	0	0	0	0	0	1	0	0	59	24	5
CENTRO	2022W05	0	0	0	0	0	0	0	0	0	0	0	53	33	10
CENTRO	2022W06	0	0	0	0	0	0	0	0	0	0	0	33	11	12
LX V TEJO	2022W02	0	0	0	0	0	0	0	0	0	0	1	79	5	0
LX V TEJO	2022W03	0	0	0	0	0	0	0	0	0	0	0	65	10	5
LX V TEJO	2022W04	0	0	0	0	0	0	0	0	0	0	1	59	10	4
LX V TEJO	2022W05	0	0	0	0	0	0	0	0	0	0	0	50	14	15
LX V TEJO	2022W06	0	0	0	0	0	0	0	0	0	0	0	31	15	13
MADEIRA-RA	2022W02	0	0	0	1	0	0	0	0	0	0	0	33	2	0
MADEIRA-RA	2022W03	0	0	0	0	0	0	0	0	0	0	0	28	6	0
MADEIRA-RA	2022W04	0	0	0	0	0	0	0	0	0	0	0	28	8	0
MADEIRA-RA	2022W05	0	0	0	0	0	0	0	0	0	0	0	0	1	2
MADEIRA-RA	2022W06	0	0	0	0	0	0	0	0	0	0	0	14	10	6
NORTE	2022W02	0	0	0	0	1	2	1	2	0	0	0	89	19	0
NORTE	2022W03	0	1	0	0	0	0	0	0	0	1	0	87	27	4
NORTE	2022W04	0	0	0	0	0	0	0	0	0	0	0	63	33	4
NORTE	2022W05	0	0	0	0	0	0	0	0	0	0	0	75	31	8
NORTE	2022W06	0	0	0	0	0	0	0	0	0	0	0	40	26	8
